"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"27","Dalvin Cook","MIN","rb","12","16","214.2","24","0","0","0","0","0","0","210.1458","887.2037","4.141","64.4633","53.3959","389.1977","1.5318","2.1351","1.0676","0.0877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Adam Thielen","MIN","wr","12","16","240.6","24","0","0","0","0","0","0","3.6868","25.4908","0.1221","128.9266","88.4344","1123.7624","6.0709","0.9583","0.4791","0.2576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Nick Chubb","CLV","rb","7","16","211.1","23","0","0","0","0","0","0","196.3488","1025.5575","6.5567","48.0843","37.3991","218.5973","1.6753","0.5875","0.2937","0.1006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Brandin Cooks","LA","wr","9","16","237.7","23","0","0","0","0","0","0","4.11","25.0284","0.1571","117.7773","77.989","1121.5891","7.286","0.6675","0.3338","0.3855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Kerryon Johnson","DET","rb","5","16","208","23","0","0","0","0","0","0","219.4114","936.0046","6.0838","51.8438","42.7492","281.0067","1.223","1.2145","0.6073","0.1686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Josh Jacobs","OAK","rb","6","16","207.5","22","0","0","0","0","0","0","202.7737","810.899","5.0312","64.1345","50.4799","367.0037","1.533","0.9506","0.4753","0.147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","James White","NE","rb","10","16","204","22","0","0","0","0","0","0","63.224","241.7746","3.218","99.9219","78.0312","593.3141","3.8664","0.1749","0.0874","0.0363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","George Kittle","SF","te","4","16","216.4","21","0","0","0","0","0","0","0","0","0","115.1607","83.4822","995.2488","5.4695","0.1968","0.0984","0.3167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Devonta Freeman","ATL","rb","9","16","200.9","21","0","0","0","0","0","0","182.5602","738.109","5.3658","56.2517","46.1122","376.2649","1.9851","1.9619","0.9809","0.0922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Kenyan Drake","MIA","rb","5","16","198.3","20","0","0","0","0","0","0","165.9897","745.6197","4.8163","66.0135","50.228","348.933","1.7044","1.8758","0.9379","0.2228","275.4402","0.3391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Damien Williams","KC","rb","12","16","197.7","20","0","0","0","0","0","0","161.5197","614.1195","5.4728","60.0529","51.3564","338.4869","3.0863","0.924","0.462","0.1102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Amari Cooper","DAL","wr","8","16","225.9","20","0","0","0","0","0","0","0","0","0","123.3482","81.9452","1057.5354","6.3937","1.2093","0.6047","0.2456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
